,Gare,coordinates
0,Gare Angers Saint-Laud,"47.4646039,-0.5561315"
1,Gare Gare Montparnasse,"48.84087,2.32003"
2,Gare Paris Bercy Bourgogne - Pays d'Auvergne,"48.83922,2.38279"
3,Gare Sens,"48.19784250000001,3.267846"
4,Gare Auxerre Saint-Gervais,"47.7976411,3.5851883"
5,Gare Nantes,"47.2175352,-1.5427385"
6,Gare Rennes,"48.117266,-1.6777926"
7,Gare Brest Train Station,"48.38766640000001,-4.4801262"
8,Gare Saint-Lazare,"48.877243,2.3253114"
9,Gare Le Havre,"49.4926342,0.1247924"
10,Gare Le Mans,"47.99549709999999,0.1925452"
11,Gare Lille Europe,"50.6391418,3.0756418"
12,Gare Lille Flandres,"50.6365707,3.0699639"
13,Gare Lens,"50.4268008,2.8281258"
14,Gare Gare du Nord,"48.88084869999999,2.3555021"
15,Gare Amiens,"49.8905368,2.3081396"
16,Gare Arras,"50.2868741,2.7812701"
17,Gare Douai,"50.37171799999999,3.0900834"
18,Gare Saint-Pierre-des-Corps,"47.3860507,0.7236073"
19,Gare Gare de Lyon,"48.84430380000001,2.3743773"
20,Gare Lyon Part Dieu,"45.7605474,4.861117699999999"
21,Gare Marseille Saint-Charles,"43.3029941,5.381043099999999"
22,Gare Cannes,"43.5539692,7.0196915"
23,Gare Monaco-Monte-Carlo station,"43.7387495,7.418994199999999"
24,Gare Nice-Ville,"43.7043505,7.261998599999999"
25,Gare Antibes,"43.5857797,7.1194903"
26,Gare Montpellier Saint-Roch,"43.6047981,3.8807164"
27,Gare Nice Saint-Augustin,"43.6689843,7.210903499999999"
28,Gare Gare de l'Est,"48.8768146,2.3591978"
29,Gare Champagne-Ardenne TGV,"49.2147499,3.9945858"
30,Gare Reims,"49.258329,4.031696"
31,Gare Franchet d'Esperey,"49.2422949,4.0135537"
32,Gare Angers Maître École,"47.4670443,-0.5324291999999999"
33,Gare Strasbourg,"48.5828232,7.7316359"
34,Gare Krimmeri-Meinau,"48.5635493,7.7526901"
35,Gare St-Etienne-Châteaucreux,"45.4434378,4.3994599"
36,Gare Roanne,"46.0394455,4.0631971"
37,Gare Saint-Étienne La Terrasse,"45.4648615,4.3795639"
38,Gare Toulouse Matabiau,"43.6112567,1.4536234"
39,Gare Saint-Agne,"43.5797075,1.4502127"
40,Gare Bordeaux Saint-Jean,"44.8264922,-0.5560482"
41,Gare Joigny,"47.9738013,3.3929783"
42,Gare Laroche Migennes,"47.9610062,3.5129557"
43,Gare Charles de Gaulle Airport 2 TGV,"49.0045699,2.5709029"
44,Gare Montereau,"48.3798733,2.9429743"
45,Gare Dijon,"47.3235037,5.027186299999999"
46,Gare Lyon-Perrache,"45.7489883,4.8263666"
47,Gare Saint-Étienne Carnot,"45.446996,4.3853308"
48,Gare Versailles-Chantiers,"48.79564980000001,2.1357247"
49,Gare Nice Riquier,"43.705555,7.290175"
50,Gare Valence TGV Rhône-Alpes Sud,"44.99191,4.97865"
51,Gare Kerhuon,"48.4095463,-4.3880966"
52,Gare Gare Ferroviaire de Morlaix,"48.578022,-3.8324461"
53,Gare Rouen-Rive-Droite,"49.4489102,1.0941365"
54,Gare Lyon Saint-Exupéry TGV,"45.720909,5.075823"
55,Gare Marne-la-Vallée - Chessy,"48.8705961,2.7825983"
56,Gare Lille Centre Hospitalier Régional,"50.6145034,3.034445"
57,Gare Avignon TGV,"43.9220325,4.785868199999999"
58,Gare Hénin-Beaumont,"50.41755810000001,2.9531967"
59,Gare Aix-en-Provence TGV,"43.4551516,5.3172348"
60,Gare Saint-Raphaël Valescure,"43.423627,6.769072"
61,Gare Ostricourt,"50.4455,3.03241"
62,Gare Porte de Douai,"50.61190329999999,3.075764"
63,Gare Toulon,"43.1284078,5.9295181"
64,Gare Avignon Centre,"43.9419008,4.805270000000001"
65,Gare Nîmes,"43.832453,4.366229199999999"
66,Gare Montpellier Sud de France,"43.5952025,3.9242233"
67,Gare Narbonne,"43.19062,3.00567"
68,Gare Gallieni - Cancéropôle,"43.5729724,1.4197236"
69,Gare Nîmes Pont du Gard,"43.8167442,4.5071651"
70,Gare Èze,"43.72255,7.35686"
71,Gare Le Mans - Gare SNCF,"47.99549709999999,0.1925452"
72,Gare Ventimiglia,"43.7924461,7.6097338"
73,Gare Genova Piazza Principe,"44.41694,8.92149"
74,Gare Quimper,"47.99445499999999,-4.092103"
75,Gare Redon,"47.6519675,-2.0881564"
76,Gare Massy TGV,"48.725873,2.2613663"
77,Gare Gare d'Austerlitz,"48.8423463,2.3662839"
78,Gare Gare de Limoges-Bénédictins,"45.83621,1.2674496"
79,Gare Epernay,"49.04629629999999,3.9598976"
80,Gare Mulhouse,"47.74242599999999,7.342835099999999"
81,Gare Tonnerre,"47.8594268,3.9736117"
82,Gare Nancy,"48.6898343,6.1744447"
83,Gare Gare de Montbard,"47.61869979999999,4.3362696"
