,Hosting team,visiting team,Time,Number of steps,emission_carbone
0,Angers,Auxerre,13195,2,267.086
1,Angers,Brest,13553,1,1127.826
2,Angers,Le Havre,10614,1,971.2350000000001
3,Angers,Lens,12945,2,250.61199999999997
4,Angers,Lille,13025,2,339.729
5,Angers,Lyon,15565,2,336.562
6,Angers,Marseille,19483,2,422.174
7,Angers,Monaco,30480,3,492.43800000000005
8,Angers,Montpellier,20713,2,413.73099999999994
9,Angers,Nantes,3450,0,296.02199999999993
10,Angers,Nice,28760,3,493.79
11,Angers,Paris Saint-Germain,6397,2,130.799
12,Angers,Reims,11159,2,202.90499999999997
13,Angers,Rennes,5625,0,415.97100000000006
14,Angers,Strasbourg,14891,2,309.104
15,Angers,Saint-Étienne,17826,2,313.6
16,Angers,Toulouse,20485,1,1914.411
17,Auxerre,Angers,13700,1,1220.5529999999999
18,Auxerre,Brest,24571,1,2144.457
19,Auxerre,Le Havre,12735,1,1066.563
20,Auxerre,Lens,14218,1,1096.9950000000001
21,Auxerre,Lille,13491,3,333.12399999999997
22,Auxerre,Lyon,10720,1,929.673
23,Auxerre,Marseille,17961,2,1042.712
24,Auxerre,Monaco,27353,1,2369.8799999999997
25,Auxerre,Montpellier,18651,2,1163.6190000000001
26,Auxerre,Nantes,16387,1,1478.31
27,Auxerre,Nice,26074,1,2298.444
28,Auxerre,Paris Saint-Germain,6637,1,510.177
29,Auxerre,Reims,8928,1,610.023
30,Auxerre,Rennes,14898,2,308.527
31,Auxerre,Strasbourg,14106,5,306.006
32,Auxerre,Saint-Étienne,12873,0,1087.269
33,Auxerre,Toulouse,23629,1,1847.742
34,Brest,Angers,13709,1,1128.219
35,Brest,Auxerre,22146,2,380.209
36,Brest,Le Havre,16583,1,1381.029
37,Brest,Lens,21356,2,363.735
38,Brest,Lille,21716,2,399.421
39,Brest,Lyon,23480,2,428.338
40,Brest,Marseille,27534,2,535.297
41,Brest,Monaco,43394,2,2125.0319999999997
42,Brest,Montpellier,28692,2,549.4119999999999
43,Brest,Nantes,10656,1,881.577
44,Brest,Nice,41734,2,2130.7839999999997
45,Brest,Paris Saint-Germain,19676,2,322.445
46,Brest,Reims,19593,2,320.031
47,Brest,Rennes,8865,1,716.823
48,Brest,Strasbourg,23782,2,422.2270000000001
49,Brest,Saint-Étienne,26800,2,590.164
50,Brest,Toulouse,29583,1,2657.871
51,Le Havre,Angers,10927,1,976.806
52,Le Havre,Auxerre,13054,1,1074.66
53,Le Havre,Brest,16748,1,1387.521
54,Le Havre,Lens,10476,1,875.796
55,Le Havre,Lille,10924,1,932.16
56,Le Havre,Lyon,17706,2,571.905
57,Le Havre,Marseille,22408,2,491.139
58,Le Havre,Monaco,33225,3,560.703
59,Le Havre,Montpellier,23566,2,505.25399999999996
60,Le Havre,Nantes,13294,1,1140.2369999999999
61,Le Havre,Nice,31865,3,566.455
62,Le Havre,Paris Saint-Germain,7133,0,575.826
63,Le Havre,Reims,12133,1,1046.952
64,Le Havre,Rennes,9675,1,830.658
65,Le Havre,Strasbourg,16479,2,357.213
66,Le Havre,Saint-Étienne,21051,2,382.565
67,Le Havre,Toulouse,29277,1,2585.4869999999996
68,Lens,Angers,12823,2,215.34400000000002
69,Lens,Auxerre,13629,2,233.984
70,Lens,Brest,21094,2,323.877
71,Lens,Le Havre,10428,1,875.538
72,Lens,Lille,1821,1,117.594
73,Lens,Lyon,14684,2,303.291
74,Lens,Marseille,18478,2,383.225
75,Lens,Monaco,29115,4,460.039
76,Lens,Montpellier,19636,2,397.34000000000003
77,Lens,Nantes,15314,2,253.01799999999997
78,Lens,Nice,27815,3,459.241
79,Lens,Paris Saint-Germain,8033,1,616.935
80,Lens,Reims,6803,1,554.901
81,Lens,Rennes,12988,2,238.40100000000004
82,Lens,Strasbourg,14651,2,317.054
83,Lens,Saint-Étienne,15149,3,283.201
84,Lens,Toulouse,25469,2,401.02500000000003
85,Lille,Angers,13126,2,259.90700000000004
86,Lille,Auxerre,12588,2,342.223
87,Lille,Brest,21276,2,368.44
88,Lille,Le Havre,10859,1,930.0179999999999
89,Lille,Lens,1911,1,119.529
90,Lille,Lyon,14379,2,332.204
91,Lille,Marseille,19282,2,426.99999999999994
92,Lille,Monaco,28766,4,475.40200000000004
93,Lille,Montpellier,19320,2,521.157
94,Lille,Nantes,15137,2,297.581
95,Lille,Nice,27637,2,555.466
96,Lille,Paris Saint-Germain,6158,1,215.731
97,Lille,Reims,7269,1,610.005
98,Lille,Rennes,13171,2,282.964
99,Lille,Strasbourg,11772,2,267.841
100,Lille,Saint-Étienne,14993,2,316.92600000000004
101,Lille,Toulouse,26312,2,447.33799999999997
102,Lyon,Angers,16018,2,355.768
103,Lyon,Auxerre,10698,1,932.1569999999999
104,Lyon,Brest,25109,2,448.893
105,Lyon,Le Havre,17902,2,396.83299999999997
106,Lyon,Lens,15226,2,316.371
107,Lyon,Lille,12929,1,301.317
108,Lyon,Marseille,7311,1,175.989
109,Lyon,Monaco,17288,3,245.55299999999994
110,Lyon,Montpellier,8301,2,191.996
111,Lyon,Nantes,17332,2,364.894
112,Lyon,Nice,15975,2,301.355
113,Lyon,Paris Saint-Germain,9271,1,238.325
114,Lyon,Reims,11221,2,269.974
115,Lyon,Rennes,16163,2,537.217
116,Lyon,Strasbourg,15638,2,246.32299999999998
117,Lyon,Saint-Étienne,3152,0,217.07100000000003
118,Lyon,Toulouse,15176,3,297.70700000000005
119,Marseille,Angers,20081,2,418.721
120,Marseille,Auxerre,18873,2,428.247
121,Marseille,Brest,28052,2,527.254
122,Marseille,Le Havre,21167,1,638.286
123,Marseille,Lens,19738,2,380.738
124,Marseille,Lille,18658,2,416.424
125,Marseille,Lyon,6409,2,171.906
126,Marseille,Monaco,8670,1,676.923
127,Marseille,Montpellier,7299,1,534.699
128,Marseille,Nantes,22692,2,456.39500000000004
129,Marseille,Nice,7391,1,605.484
130,Marseille,Paris Saint-Germain,13431,1,329.826
131,Marseille,Reims,17284,2,348.335
132,Marseille,Rennes,20186,2,441.77799999999996
133,Marseille,Strasbourg,21516,2,465.639
134,Marseille,Saint-Étienne,10234,2,190.216
135,Marseille,Toulouse,14144,1,1221.744
136,Monaco,Angers,31031,3,489.774
137,Monaco,Auxerre,27614,1,2371.1279999999997
138,Monaco,Brest,36930,2,1164.205
139,Monaco,Le Havre,31997,3,798.189
140,Monaco,Lens,28948,3,458.34099999999995
141,Monaco,Lille,29281,2,933.939
142,Monaco,Lyon,16639,3,241.90900000000002
143,Monaco,Marseille,8699,1,676.2629999999999
144,Monaco,Montpellier,13674,0,1062.357
145,Monaco,Nantes,32055,2,579.302
146,Monaco,Nice,1723,0,81.3
147,Monaco,Paris Saint-Germain,22867,2,898.9079999999999
148,Monaco,Reims,25142,2,985.286
149,Monaco,Rennes,29696,3,512.131
150,Monaco,Strasbourg,30443,1,2321.8650000000002
151,Monaco,Saint-Étienne,18392,1,1540.719
152,Monaco,Toulouse,20563,1,1749.4050000000002
153,Montpellier,Angers,21046,2,414.10599999999994
154,Montpellier,Auxerre,20438,2,423.632
155,Montpellier,Brest,29942,2,522.2520000000001
156,Montpellier,Le Havre,22037,1,893.984
157,Montpellier,Lens,21629,3,393.01
158,Montpellier,Lille,19718,2,390.02200000000005
159,Montpellier,Lyon,8822,2,216.22499999999997
160,Montpellier,Marseille,7338,1,533.937
161,Montpellier,Monaco,13568,1,1058.262
162,Montpellier,Nantes,23177,2,451.78000000000003
163,Montpellier,Nice,12289,1,986.8259999999999
164,Montpellier,Paris Saint-Germain,15956,2,452.5609999999999
165,Montpellier,Reims,17648,2,368.128
166,Montpellier,Rennes,22016,2,436.77600000000007
167,Montpellier,Strasbourg,22266,2,460.637
168,Montpellier,Saint-Étienne,10899,2,312.951
169,Montpellier,Toulouse,8497,1,728.3820000000001
170,Nantes,Angers,3642,1,271.068
171,Nantes,Auxerre,15853,2,305.207
172,Nantes,Brest,10658,1,883.2839999999999
173,Nantes,Le Havre,13251,1,1137.1019999999999
174,Nantes,Lens,15363,2,288.733
175,Nantes,Lille,15683,2,377.85
176,Nantes,Lyon,18223,2,374.683
177,Nantes,Marseille,22081,2,460.29499999999996
178,Nantes,Monaco,35539,2,1501.641
179,Nantes,Montpellier,23371,2,451.85200000000003
180,Nantes,Nice,33819,2,1502.993
181,Nantes,Paris Saint-Germain,9303,1,171.593
182,Nantes,Reims,13817,2,241.026
183,Nantes,Rennes,4113,0,324.489
184,Nantes,Strasbourg,17549,2,347.22499999999997
185,Nantes,Saint-Étienne,20484,2,351.721
186,Nantes,Toulouse,19367,1,1796.592
187,Nice,Angers,27706,2,956.8869999999998
188,Nice,Auxerre,26121,1,2294.982
189,Nice,Brest,35305,3,1193.0529999999999
190,Nice,Le Havre,28979,2,976.886
191,Nice,Lens,27790,3,463.03799999999995
192,Nice,Lille,27726,2,553.368
193,Nice,Lyon,15721,2,304.256
194,Nice,Marseille,7206,1,600.117
195,Nice,Monaco,1647,0,79.512
196,Nice,Montpellier,12225,1,986.214
197,Nice,Nantes,33100,2,544.04
198,Nice,Paris Saint-Germain,23223,2,490.026
199,Nice,Reims,25656,3,441.73999999999995
200,Nice,Rennes,30414,2,530.1229999999999
201,Nice,Strasbourg,30673,1,2372.754
202,Nice,Saint-Étienne,16899,1,1464.573
203,Nice,Toulouse,19070,1,1673.2589999999998
204,Paris Saint-Germain,Angers,6708,1,133.817
