,Nom,trajet,steps,type,distance,time,vehicule_type
0,Angers-Auxerre route 1,Angers;-Auxerre,"['Angers Saint-Laud;-Gare Montparnasse', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['298 km', '110 km', '61.7 km']","[5040, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
1,Angers-Auxerre route 2,Angers;-Auxerre,"['Angers Saint-Laud;-Gare Montparnasse', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Auxerre Saint-Gervais""]","['TGV INOUI', 'TER']","['298 km', '173 km']","[5820, 6180]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
2,Angers-Auxerre route 3,Angers;-Auxerre,"['Angers Saint-Laud;-Gare Montparnasse', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Auxerre Saint-Gervais""]","['TGV INOUI', 'TER']","['298 km', '173 km']","[5820, 6180]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
3,Angers-Auxerre route 4,Angers;-Auxerre,"['Angers Saint-Laud;-Gare Montparnasse', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Auxerre Saint-Gervais""]","['TGV INOUI', 'TER']","['298 km', '173 km']","[5820, 6780]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
4,Angers-Auxerre route 5,Angers;-Auxerre,"['Angers Saint-Laud;-Gare Montparnasse', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Auxerre Saint-Gervais""]","['TGV INOUI', 'TER']","['298 km', '173 km']","[5820, 6780]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
5,Angers-Auxerre route 6,Angers;-Auxerre,"['Angers Saint-Laud;-Gare Montparnasse', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Auxerre Saint-Gervais""]","['TGV INOUI', 'TER']","['298 km', '173 km']","[5820, 6780]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
6,Angers-Brest route 1,Angers;-Brest,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes', 'Rennes;-Brest Train Station']","['TGV INOUI', 'TER02', 'TER']","['87.3 km', '149 km', '249 km']","[2160, 4560, 8220]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
7,Angers-Brest route 2,Angers;-Brest,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes', 'Rennes;-Brest Train Station']","['TGV INOUI', 'TER02', 'TER']","['87.3 km', '149 km', '249 km']","[2160, 4560, 8220]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
8,Angers-Brest route 3,Angers;-Brest,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes', 'Rennes;-Brest Train Station']","['TGV INOUI', 'TER02', 'TER']","['87.3 km', '149 km', '249 km']","[2160, 4560, 8220]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
9,Angers-Brest route 4,Angers;-Brest,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes', 'Rennes;-Brest Train Station']","['TGV INOUI', 'TER02', 'TER']","['87.3 km', '149 km', '249 km']","[2160, 4560, 8220]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
