,trajet,distance,time,emission
0,Angers;-Auxerre,406851,13700,24411060
1,Angers;-Brest,376073,13709,22564380
2,Angers;-Le Havre,325602,10927,19536120
3,Angers;-Lens,490871,17538,29452260
4,Angers;-Lille,509031,17969,30541860
5,Angers;-Lyon,612963,20016,36777780
6,Angers;-Marseille,908421,29869,54505260
7,Angers;-Monaco,1084308,36288,65058480
8,Angers;-Montpellier,767657,24924,46059420
9,Angers;-Nantes,90356,3642,5421360
10,Angers;-Nice,1058926,34795,63535560
11,Angers;-Paris Saint-Germain,289985,9916,17399100
12,Angers;-Reims,429040,14779,25742400
13,Angers;-Rennes,132203,5674,7932180
14,Angers;-Strasbourg,777954,26597,46677240
15,Angers;-Saint-Étienne,572510,18170,34350600
16,Angers;-Toulouse,639281,20615,38356860
17,Auxerre;-Angers,407829,13727,24469740
18,Auxerre;-Brest,716127,24665,42967620
19,Auxerre;-Le Havre,358220,13054,21493200
20,Auxerre;-Lens,366045,14104,21962700
21,Auxerre;-Lille,384205,14535,23052300
22,Auxerre;-Lyon,310719,10698,18643140
23,Auxerre;-Marseille,614489,21195,36869340
24,Auxerre;-Monaco,790376,27614,47422560
25,Auxerre;-Montpellier,604403,21233,36264180
26,Auxerre;-Nantes,494151,16569,29649060
27,Auxerre;-Nice,764994,26121,45899640
28,Auxerre;-Paris Saint-Germain,170533,6765,10231980
29,Auxerre;-Reims,203919,8925,12235140
30,Auxerre;-Rennes,479236,16121,28754160
31,Auxerre;-Strasbourg,484474,17443,29068440
32,Auxerre;-Saint-Étienne,360653,12848,21639180
33,Auxerre;-Toulouse,616198,23764,36971880
34,Brest;-Angers,375942,13553,22556520
35,Brest;-Auxerre,714819,24571,42889140
36,Brest;-Le Havre,462507,16748,27750420
37,Brest;-Lens,737942,26336,44276520
38,Brest;-Lille,756102,26767,45366120
39,Brest;-Lyon,985588,32799,59135280
40,Brest;-Marseille,1281046,42652,76862760
41,Brest;-Monaco,1456933,49071,87415980
42,Brest;-Montpellier,1119502,37225,67170120
43,Brest;-Nantes,294428,10658,17665680
44,Brest;-Nice,1431551,47578,85893060
45,Brest;-Paris Saint-Germain,584617,20343,35077020
46,Brest;-Reims,723672,25206,43420320
47,Brest;-Rennes,238366,8756,14301960
48,Brest;-Strasbourg,1072586,37024,64355160
49,Brest;-Saint-Étienne,945135,30953,56708100
50,Brest;-Toulouse,885518,29547,53131080
51,Le Havre;-Angers,323745,10614,19424700
52,Le Havre;-Auxerre,355521,12735,21331260
53,Le Havre;-Brest,460343,16583,27620580
54,Le Havre;-Lens,291846,10428,17510760
55,Le Havre;-Lille,310006,10859,18600360
56,Le Havre;-Lyon,659550,22107,39573000
57,Le Havre;-Marseille,963320,32604,57799200
58,Le Havre;-Monaco,1139207,39023,68352420
59,Le Havre;-Montpellier,908543,30423,54512580
60,Le Havre;-Nantes,379034,13251,22742040
61,Le Havre;-Nice,1113825,37530,66829500
62,Le Havre;-Paris Saint-Germain,190492,6949,11429520
63,Le Havre;-Reims,346183,11946,20770980
64,Le Havre;-Rennes,274726,9475,16483560
65,Le Havre;-Strasbourg,695232,23844,41713920
66,Le Havre;-Saint-Étienne,713396,23669,42803760
67,Le Havre;-Toulouse,848384,29094,50903040
68,Lens;-Angers,491010,17598,29460600
69,Lens;-Auxerre,365665,14218,21939900
70,Lens;-Brest,736946,26254,44216760
71,Lens;-Le Havre,291932,10476,17515920
72,Lens;-Lille,39843,1911,2390580
73,Lens;-Lyon,679607,22694,40776420
74,Lens;-Marseille,983377,33191,59002620
75,Lens;-Monaco,1159264,39610,69555840
76,Lens;-Montpellier,939546,32392,56372760
77,Lens;-Nantes,577331,20440,34639860
78,Lens;-Nice,1133882,38117,68032920
79,Lens;-Paris Saint-Germain,205088,8170,12305280
80,Lens;-Reims,184352,6760,11061120
81,Lens;-Rennes,551329,19146,33079740
82,Lens;-Strasbourg,533401,18658,32004060
83,Lens;-Saint-Étienne,729541,24844,43772460
84,Lens;-Toulouse,879387,31063,52763220
85,Lille;-Angers,509797,18046,30587820
86,Lille;-Auxerre,384452,14666,23067120
87,Lille;-Brest,755734,26702,45344040
88,Lille;-Le Havre,310720,10924,18643200
89,Lille;-Lens,39198,1821,2351880
90,Lille;-Lyon,698759,23198,41925540
91,Lille;-Marseille,1002529,33695,60151740
92,Lille;-Monaco,1178416,40114,70704960
93,Lille;-Montpellier,958333,32840,57499980
94,Lille;-Nantes,596118,20888,35767080
95,Lille;-Nice,1153034,38621,69182040
96,Lille;-Paris Saint-Germain,223876,8618,13432560
97,Lille;-Reims,203504,7264,12210240
98,Lille;-Rennes,570117,19594,34207020
99,Lille;-Strasbourg,519843,19225,31190580
100,Lille;-Saint-Étienne,748693,25348,44921580
101,Lille;-Toulouse,898174,31511,53890440
102,Lyon;-Angers,612018,20070,36721080
103,Lyon;-Auxerre,309891,10720,18593460
104,Lyon;-Brest,984057,32978,59043420
105,Lyon;-Le Havre,660862,22339,39651720
106,Lyon;-Lens,677897,22696,40673820
107,Lyon;-Lille,696265,23162,41775900
108,Lyon;-Marseille,325676,11546,19540560
109,Lyon;-Monaco,501563,17965,30093780
110,Lyon;-Montpellier,315589,11584,18935340
111,Lyon;-Nantes,698340,22912,41900400
112,Lyon;-Nice,476181,16472,28570860
113,Lyon;-Paris Saint-Germain,473175,16050,28390500
114,Lyon;-Reims,495591,16628,29735460
115,Lyon;-Rennes,737289,24893,44237340
116,Lyon;-Strasbourg,485294,17654,29117640
117,Lyon;-Saint-Étienne,71825,3191,4309500
118,Lyon;-Toulouse,544886,18425,32693160
119,Marseille;-Angers,909945,29887,54596700
120,Marseille;-Auxerre,615185,21123,36911100
121,Marseille;-Brest,1281984,42795,76919040
122,Marseille;-Le Havre,966156,32742,57969360
123,Marseille;-Lens,983191,33099,58991460
124,Marseille;-Lille,1001559,33565,60093540
125,Marseille;-Lyon,325136,11403,19508160
126,Marseille;-Monaco,225421,8699,13525260
127,Marseille;-Montpellier,177979,7338,10678740
128,Marseille;-Nantes,996267,32729,59776020
129,Marseille;-Nice,200039,7206,12002340
130,Marseille;-Paris Saint-Germain,778469,26453,46708140
131,Marseille;-Reims,800885,27031,48053100
132,Marseille;-Rennes,1035216,34710,62112960
133,Marseille;-Strasbourg,806401,28440,48384060
134,Marseille;-Saint-Étienne,338277,11913,20296620
135,Marseille;-Toulouse,407276,14180,24436560
136,Monaco;-Angers,1084720,36117,65083200
137,Monaco;-Auxerre,789960,27353,47397600
138,Monaco;-Brest,1456759,49025,87405540
139,Monaco;-Le Havre,1140931,38972,68455860
140,Monaco;-Lens,1157966,39329,69477960
141,Monaco;-Lille,1176334,39795,70580040
142,Monaco;-Lyon,499911,17634,29994660
143,Monaco;-Marseille,225641,8670,13538460
144,Monaco;-Montpellier,352754,13568,21165240
145,Monaco;-Nantes,1171042,38959,70262520
146,Monaco;-Nice,26504,1651,1590240
147,Monaco;-Paris Saint-Germain,953244,32683,57194640
148,Monaco;-Reims,975660,33261,58539600
149,Monaco;-Rennes,1209991,40940,72599460
150,Monaco;-Strasbourg,774601,30774,46476060
151,Monaco;-Saint-Étienne,513052,18143,30783120
152,Monaco;-Toulouse,582051,20410,34923060
153,Montpellier;-Angers,768495,25003,46109700
154,Montpellier;-Auxerre,605746,21195,36344760
155,Montpellier;-Brest,1118941,37228,67136460
156,Montpellier;-Le Havre,921304,30757,55278240
157,Montpellier;-Lens,939428,32324,56365680
158,Montpellier;-Lille,957588,32755,57455280
159,Montpellier;-Lyon,315697,11475,18941820
160,Montpellier;-Marseille,178233,7299,10693980
161,Montpellier;-Monaco,354120,13718,21247200
162,Montpellier;-Nantes,831848,27012,49910880
163,Montpellier;-Nice,328738,12225,19724280
164,Montpellier;-Paris Saint-Germain,738542,24702,44312520
165,Montpellier;-Reims,791446,27103,47486760
166,Montpellier;-Rennes,893766,29826,53625960
167,Montpellier;-Strasbourg,796962,28512,47817720
168,Montpellier;-Saint-Étienne,328838,11985,19730280
169,Montpellier;-Toulouse,241513,8464,14490780
170,Nantes;-Angers,89236,3457,5354160
171,Nantes;-Auxerre,492770,16387,29566200
172,Nantes;-Brest,293859,10656,17631540
173,Nantes;-Le Havre,380079,13294,22804740
174,Nantes;-Lens,576791,20224,34607460
175,Nantes;-Lille,594951,20655,35697060
176,Nantes;-Lyon,698882,22703,41932920
177,Nantes;-Marseille,994340,32556,59660400
178,Nantes;-Monaco,1170227,38975,70213620
179,Nantes;-Montpellier,832965,27076,49977900
180,Nantes;-Nice,1144845,37482,68690700
