,Equipe,Emission plane (kgCO2),Emission train (kgCO2)
0,Auxerre,418096.96182179137,14084.486
1,Brest,550834.4992822211,15074.966
2,Le Havre,474748.1304315069,14684.356
3,Lens,498023.2884333432,7440.065
4,Lille,475421.3496333431,7268.664000000001
5,Lyon,448165.0524216504,6182.607000000001
6,Marseille,509078.4221210234,8623.1
7,Monaco,536168.5879697924,17043.468999999997
8,Montpellier,490630.3654228249,9461.689
9,Nantes,476808.1224503754,11705.636
10,Nice,515113.1035697922,16547.388
11,Paris Saint-Germain,434015.9765490299,6086.785999999999
12,Reims,479804.1696085819,7142.937
13,Rennes,468883.3054831049,8741.434
14,Strasbourg,543473.2031160272,9624.609
15,Saint-Étienne,434908.3787819341,9862.539
16,Toulouse,498718.4378902742,24146.251
17,Angers,452688.4420813536,11381.569
