airport_name,latitude,longitude,club_name,stadium_name
Aéroport de Lille-Lesquin,50.567054071614706,3.098923049730419,Lille,Decathlon Arena Pierre Mauroy Stadium
Aéroport de Lille-Lesquin,50.567054071614706,3.098923049730419,Lens,Stade Bollaert-Delelis
Aéroport de Paris-Charles de Gaulle,49.00573335999775,2.549493187402767,Paris Saint-Germain,Parc des Princes
Aéroport Saint-Nazaire Montoir-de-Bretagne,47.31200486435402,-2.1522680447306133,Nantes,Stade de la Beaujoire
Aéroport d'Angers,47.56268326367042,-0.3146056927399335,Angers,Stade Raymond Kopa
Aéroport Le Havre-Octeville,49.53208080817946,0.085185590161295,Le Havre,Stade Océane
Aéroport Rennes Bretagne,48.0695552791649,-1.7324487927165575,Rennes,Roazhon Park
Aéroport Brest Bretagne,48.44806758202319,-4.418785477816436,Brest,Stade Francis-Le Blé
Aéroport de Lorient Bretagne Sud,47.75402403970051,-3.437202600678663,Lorient,Stade de la Route de Lorient
Aéroport Marseille Provence,43.43791543967677,5.21484531414892,Marseille,Orange Vélodrome
Aéroport Nice Côte d’Azur,43.65932215075198,7.214794783101506,Nice,Allianz Riviera
Aéroport Nice Côte d’Azur,43.65932215075198,7.214794783101506,Monaco,Stade Louis II
Aéroport de Lyon-Bron,45.7315776926914,4.937236051354679,Lyon,Groupama Stadium
Aéroport Auxerre-Branches,47.84456719118031,3.49996089977291,Auxerre,Stade Abbé Deschamps
Aéroport de Strasbourg,48.53929132461569,7.623918502312405,Strasbourg,Stade de la Meinau
Aéroport Toulouse-Blagnac,43.63135353657465,1.364296878249508,Toulouse,Stadium de Toulouse
Aéroport de Saint-Etienne-Loire,45.53158281391396,4.294088328056162,Saint-Étienne,Stade Geoffroy Guichard
Aéroport Montpellier Méditerranée,43.579567782477675,3.9650871935893695,Montpellier,Stade de la Mosson
Aérodrome de Melun Villaroche,48.61234678592343,2.671584291499434,Paris FC,Stade de France
Lorraine Aéroport,48.981146433055535,6.243635411023305,Metz,Stade de Lorraine
Laon - Chambry Airport,49.5898399,3.6273853000000003,Reims,Stade Auguste Delaune
