departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Auxerre,27128,813.7,1220.5500000000002,car,"{'one_way_distance_km': 406.85, 'one_way_duration_seconds': 13564, 'one_way_emissions_kg_co2': 610.2750000000001, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Auxerre', 'distance_km': 406.85, 'travel_time_seconds': 13564}, {'step_type': 'car', 'from': 'Auxerre', 'to': 'Angers', 'distance_km': 406.85, 'travel_time_seconds': 13564}]}"
Angers,Brest,27264,752.15,1128.225,car,"{'one_way_distance_km': 376.075, 'one_way_duration_seconds': 13632, 'one_way_emissions_kg_co2': 564.1125, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Brest', 'distance_km': 376.075, 'travel_time_seconds': 13632}, {'step_type': 'car', 'from': 'Brest', 'to': 'Angers', 'distance_km': 376.075, 'travel_time_seconds': 13632}]}"
Angers,Le Havre,21612,588.154,882.231,car,"{'one_way_distance_km': 294.077, 'one_way_duration_seconds': 10806, 'one_way_emissions_kg_co2': 441.1155, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Le Havre', 'distance_km': 294.077, 'travel_time_seconds': 10806}, {'step_type': 'car', 'from': 'Le Havre', 'to': 'Angers', 'distance_km': 294.077, 'travel_time_seconds': 10806}]}"
Angers,Lens,35570,987.25,1480.875,car,"{'one_way_distance_km': 493.625, 'one_way_duration_seconds': 17785, 'one_way_emissions_kg_co2': 740.4375, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Lens', 'distance_km': 493.625, 'travel_time_seconds': 17785}, {'step_type': 'car', 'from': 'Lens', 'to': 'Angers', 'distance_km': 493.625, 'travel_time_seconds': 17785}]}"
Angers,Lille,36460,1023.576,1535.364,car,"{'one_way_distance_km': 511.788, 'one_way_duration_seconds': 18230, 'one_way_emissions_kg_co2': 767.682, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Lille', 'distance_km': 511.788, 'travel_time_seconds': 18230}, {'step_type': 'car', 'from': 'Lille', 'to': 'Angers', 'distance_km': 511.788, 'travel_time_seconds': 18230}]}"
Angers,Lyon,39814,1225.94,1838.91,car,"{'one_way_distance_km': 612.97, 'one_way_duration_seconds': 19907, 'one_way_emissions_kg_co2': 919.4549999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Lyon', 'distance_km': 612.97, 'travel_time_seconds': 19907}, {'step_type': 'car', 'from': 'Lyon', 'to': 'Angers', 'distance_km': 612.97, 'travel_time_seconds': 19907}]}"
Angers,Marseille,60172,1828.314,2742.471,car,"{'one_way_distance_km': 914.157, 'one_way_duration_seconds': 30086, 'one_way_emissions_kg_co2': 1371.2355, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Marseille', 'distance_km': 914.157, 'travel_time_seconds': 30086}, {'step_type': 'car', 'from': 'Marseille', 'to': 'Angers', 'distance_km': 914.157, 'travel_time_seconds': 30086}]}"
Angers,Monaco,72500,2169.474,3254.211,car,"{'one_way_distance_km': 1084.737, 'one_way_duration_seconds': 36250, 'one_way_emissions_kg_co2': 1627.1055000000001, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Monaco', 'distance_km': 1084.737, 'travel_time_seconds': 36250}, {'step_type': 'car', 'from': 'Monaco', 'to': 'Angers', 'distance_km': 1084.737, 'travel_time_seconds': 36250}]}"
Angers,Montpellier,49350,1535.314,2302.971,car,"{'one_way_distance_km': 767.657, 'one_way_duration_seconds': 24675, 'one_way_emissions_kg_co2': 1151.4855, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Montpellier', 'distance_km': 767.657, 'travel_time_seconds': 24675}, {'step_type': 'car', 'from': 'Montpellier', 'to': 'Angers', 'distance_km': 767.657, 'travel_time_seconds': 24675}]}"
Angers,Nantes,7222,180.714,271.07099999999997,car,"{'one_way_distance_km': 90.357, 'one_way_duration_seconds': 3611, 'one_way_emissions_kg_co2': 135.53549999999998, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Nantes', 'distance_km': 90.357, 'travel_time_seconds': 3611}, {'step_type': 'car', 'from': 'Nantes', 'to': 'Angers', 'distance_km': 90.357, 'travel_time_seconds': 3611}]}"
Angers,Nice,69536,2118.57,3177.8550000000005,car,"{'one_way_distance_km': 1059.285, 'one_way_duration_seconds': 34768, 'one_way_emissions_kg_co2': 1588.9275000000002, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Nice', 'distance_km': 1059.285, 'travel_time_seconds': 34768}, {'step_type': 'car', 'from': 'Nice', 'to': 'Angers', 'distance_km': 1059.285, 'travel_time_seconds': 34768}]}"
Angers,Paris Saint-Germain,19748,579.882,869.8229999999999,car,"{'one_way_distance_km': 289.941, 'one_way_duration_seconds': 9874, 'one_way_emissions_kg_co2': 434.91149999999993, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Paris Saint-Germain', 'distance_km': 289.941, 'travel_time_seconds': 9874}, {'step_type': 'car', 'from': 'Paris Saint-Germain', 'to': 'Angers', 'distance_km': 289.941, 'travel_time_seconds': 9874}]}"
Angers,Reims,29238,857.932,1286.898,car,"{'one_way_distance_km': 428.966, 'one_way_duration_seconds': 14619, 'one_way_emissions_kg_co2': 643.4490000000001, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Reims', 'distance_km': 428.966, 'travel_time_seconds': 14619}, {'step_type': 'car', 'from': 'Reims', 'to': 'Angers', 'distance_km': 428.966, 'travel_time_seconds': 14619}]}"
Angers,Rennes,11606,269.816,404.72399999999993,car,"{'one_way_distance_km': 134.908, 'one_way_duration_seconds': 5803, 'one_way_emissions_kg_co2': 202.36199999999997, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Rennes', 'distance_km': 134.908, 'travel_time_seconds': 5803}, {'step_type': 'car', 'from': 'Rennes', 'to': 'Angers', 'distance_km': 134.908, 'travel_time_seconds': 5803}]}"
Angers,Strasbourg,52754,1556.1,2334.1499999999996,car,"{'one_way_distance_km': 778.05, 'one_way_duration_seconds': 26377, 'one_way_emissions_kg_co2': 1167.0749999999998, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Strasbourg', 'distance_km': 778.05, 'travel_time_seconds': 26377}, {'step_type': 'car', 'from': 'Strasbourg', 'to': 'Angers', 'distance_km': 778.05, 'travel_time_seconds': 26377}]}"
Angers,Saint-Étienne,36100,1145.02,1717.53,car,"{'one_way_distance_km': 572.51, 'one_way_duration_seconds': 18050, 'one_way_emissions_kg_co2': 858.765, 'travel_steps': [{'step_type': 'car', 'from': 'Angers', 'to': 'Saint-Étienne', 'distance_km': 572.51, 'travel_time_seconds': 18050}, {'step_type': 'car', 'from': 'Saint-Étienne', 'to': 'Angers', 'distance_km': 572.51, 'travel_time_seconds': 18050}]}"
