team,scenario,transport_type,emissions_kg_co2,travel_time_seconds
Angers,S-3h,avion,208826.28817941883,194128.0
Angers,S-3h,bus,5876.16,126456.0
Angers,S-3h,train,10263.995292,125976.0
Angers,S-3h',avion,173118.62017941882,194128.0
Angers,S-3h',bus,5876.16,126456.0
Angers,S-3h',train,3515.447292,125976.0
Angers,S-6h,bus,9711.864000000001,208220.0
Angers,S-6h,train,57582.97238,721738.0
Angers,S-6h',bus,9711.864000000001,208220.0
Angers,S-6h',train,18962.46038,721738.0
Angers,S-NP,bus,9711.864000000001,208220.0
Angers,S-NP,train,57582.97238,721738.0
Angers,S-NP',bus,9711.864000000001,208220.0
Angers,S-NP',train,18962.46038,721738.0
Angers,SA,"aller en bus
retour en avion",869.8229999999999,0.0
Angers,SA,avion,293044.9274611752,272068.0
Angers,SA,bus,5372.5019999999995,135408.0
Angers,SA,train,2371.700188,40620.0
Angers,SA',"aller en bus
retour en avion",0.0,0.0
Angers,SA',avion,244712.5514611752,272068.0
Angers,SA',bus,5372.5019999999995,135408.0
Angers,SA',train,214.979188,40620.0
Marseille,S-3h,avion,378546.1746207591,359020.0
Marseille,S-3h,train,4494.261976,82192.0
Marseille,S-3h',avion,314677.1286207591,359020.0
Marseille,S-3h',train,479.6499759999999,82192.0
Marseille,S-6h,bus,2422.6319999999996,56852.0
Marseille,S-6h,train,104586.227484,1053032.0
Marseille,S-6h',bus,2422.6319999999996,56852.0
Marseille,S-6h',train,39125.201484,1053032.0
Marseille,S-NP,bus,2422.6319999999996,56852.0
Marseille,S-NP,train,104586.227484,1053032.0
Marseille,S-NP',bus,2422.6319999999996,56852.0
Marseille,S-NP',train,39125.201484,1053032.0
Marseille,SA,avion,410396.9014278523,398844.0
Marseille,SA,bus,3680.6039999999994,96064.0
Marseille,SA',avion,342513.2434278523,398844.0
Marseille,SA',bus,3680.6039999999994,96064.0
Lyon,S-3h,avion,176534.47091004302,170752.0
Lyon,S-3h,bus,3811.773,88350.0
Lyon,S-3h,train,23113.672204,360848.0
Lyon,S-3h',avion,149413.126910043,170752.0
Lyon,S-3h',bus,3811.773,88350.0
Lyon,S-3h',train,2530.0722039999996,360848.0
Lyon,S-6h,bus,6823.713,160470.0
Lyon,S-6h,train,51687.084772,778704.0
Lyon,S-6h',bus,6823.713,160470.0
Lyon,S-6h',train,6994.080771999999,778704.0
Lyon,S-NP,bus,6823.713,160470.0
Lyon,S-NP,train,51687.084772,778704.0
Lyon,S-NP',bus,6823.713,160470.0
Lyon,S-NP',train,6994.080771999999,778704.0
Lyon,SA,avion,335885.3414564162,314762.0
Lyon,SA,bus,3277.023,81054.0
Lyon,SA',avion,284368.62445641623,314762.0
Lyon,SA',bus,3277.023,81054.0
Rennes,S-3h,avion,226206.31884984707,193410.0
Rennes,S-3h,bus,7124.808,158556.0
Rennes,S-3h,train,22929.466635999997,205064.0
Rennes,S-3h',avion,187886.26884984708,193410.0
Rennes,S-3h',bus,7124.808,158556.0
Rennes,S-3h',train,10801.588635999999,205064.0
Rennes,S-6h,bus,7124.808,158556.0
Rennes,S-6h,train,77972.22323999999,864918.0
Rennes,S-6h',bus,7124.808,158556.0
Rennes,S-6h',train,27524.29524,864918.0
Rennes,S-NP,bus,7124.808,158556.0
Rennes,S-NP,train,77972.22323999999,864918.0
Rennes,S-NP',bus,7124.808,158556.0
Rennes,S-NP',train,27524.29524,864918.0
Rennes,SA,avion,349383.081753094,290706.0
Rennes,SA,bus,5582.298,136110.0
Rennes,SA',avion,291810.345753094,290706.0
Rennes,SA',bus,5582.298,136110.0
Saint-Étienne,S-3h,avion,122125.71701522691,109174.0
Saint-Étienne,S-3h,bus,13756.203,312796.0
Saint-Étienne,S-3h,train,15607.606236,269968.0
Saint-Étienne,S-3h',avion,102715.49501522692,109174.0
Saint-Étienne,S-3h',bus,13756.203,312796.0
Saint-Étienne,S-3h',train,1580.542236,269968.0
Saint-Étienne,S-6h,bus,17706.783,395708.0
Saint-Étienne,S-6h,train,37226.152947999995,570438.0
Saint-Étienne,S-6h',bus,17706.783,395708.0
Saint-Étienne,S-6h',train,7739.446948,570438.0
