departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Auxerre,9254,646.6823877606209,7455.408689887658,plane,"{'one_way_flight_distance_km': 287.1311938803105, 'one_way_flight_time_seconds': 2271, 'one_way_autocar_distance_km': 36.21, 'one_way_autocar_time_seconds': 2356, 'one_way_fuel_consumption_kg': 632.41501542989, 'one_way_plane_emission_kg_co2': 3673.3893449438287, 'one_way_autocar_emission_kg_co2': 54.315, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Auxerre-Branches', 'to_coords': [47.84456719118031, 3.49996089977291], 'distance_km': 287.1311938803105, 'travel_time_seconds': 2271}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Auxerre-Branches', 'from_coords': [47.84456719118031, 3.49996089977291], 'to': 'Auxerre', 'to_coords': [47.7867476, 3.5885458], 'distance_km': 10.69, 'travel_time_seconds': 1061}]}"
Angers,Brest,8936,712.0355995372347,7928.225321551486,plane,"{'one_way_flight_distance_km': 320.7667997686174, 'one_way_flight_time_seconds': 2417, 'one_way_autocar_distance_km': 35.251, 'one_way_autocar_time_seconds': 2051, 'one_way_fuel_consumption_kg': 673.3630020383148, 'one_way_plane_emission_kg_co2': 3911.236160775743, 'one_way_autocar_emission_kg_co2': 52.87649999999999, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Brest Bretagne', 'to_coords': [48.44806758202319, -4.418785477816436], 'distance_km': 320.7667997686174, 'travel_time_seconds': 2417}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Brest Bretagne', 'from_coords': [48.44806758202319, -4.418785477816436], 'to': 'Brest', 'to_coords': [48.4028861, -4.461456699999999], 'distance_km': 9.731, 'travel_time_seconds': 756}]}"
Angers,Le Havre,9050,526.3793486718912,6537.578178999421,plane,"{'one_way_flight_distance_km': 220.95467433594558, 'one_way_flight_time_seconds': 1984, 'one_way_autocar_distance_km': 42.235, 'one_way_autocar_time_seconds': 2541, 'one_way_fuel_consumption_kg': 551.8517205365802, 'one_way_plane_emission_kg_co2': 3205.4365894997104, 'one_way_autocar_emission_kg_co2': 63.3525, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Le Havre-Octeville', 'to_coords': [49.53208080817946, 0.085185590161295], 'distance_km': 220.95467433594558, 'travel_time_seconds': 1984}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Le Havre-Octeville', 'from_coords': [49.53208080817946, 0.085185590161295], 'to': 'Le Havre', 'to_coords': [49.4993417, 0.1692945], 'distance_km': 16.715, 'travel_time_seconds': 1246}]}"
Angers,Lens,12078,956.7224370575988,9360.611710795327,plane,"{'one_way_flight_distance_km': 416.3782185287994, 'one_way_flight_time_seconds': 2831, 'one_way_autocar_distance_km': 61.983000000000004, 'one_way_autocar_time_seconds': 3208, 'one_way_fuel_consumption_kg': 789.7603432369604, 'one_way_plane_emission_kg_co2': 4587.331355397663, 'one_way_autocar_emission_kg_co2': 92.9745, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport de Lille-Lesquin', 'to_coords': [50.567054071614706, 3.098923049730419], 'distance_km': 416.3782185287994, 'travel_time_seconds': 2831}, {'step_type': 'autocar_arrival', 'from': 'Aéroport de Lille-Lesquin', 'from_coords': [50.567054071614706, 3.098923049730419], 'to': 'Lens', 'to_coords': [50.4328789, 2.8150836], 'distance_km': 36.463, 'travel_time_seconds': 1913}]}"
Angers,Lille,9544,899.3004370575987,9274.478710795327,plane,"{'one_way_flight_distance_km': 416.3782185287994, 'one_way_flight_time_seconds': 2831, 'one_way_autocar_distance_km': 33.272, 'one_way_autocar_time_seconds': 1941, 'one_way_fuel_consumption_kg': 789.7603432369604, 'one_way_plane_emission_kg_co2': 4587.331355397663, 'one_way_autocar_emission_kg_co2': 49.908, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport de Lille-Lesquin', 'to_coords': [50.567054071614706, 3.098923049730419], 'distance_km': 416.3782185287994, 'travel_time_seconds': 2831}, {'step_type': 'autocar_arrival', 'from': 'Aéroport de Lille-Lesquin', 'from_coords': [50.567054071614706, 3.098923049730419], 'to': 'Lille', 'to_coords': [50.611355, 3.1326951], 'distance_km': 7.752, 'travel_time_seconds': 646}]}"
Angers,Lyon,10358,966.623255741221,9744.57599888183,plane,"{'one_way_flight_distance_km': 449.50462787061053, 'one_way_flight_time_seconds': 2974, 'one_way_autocar_distance_km': 33.807, 'one_way_autocar_time_seconds': 2205, 'one_way_fuel_consumption_kg': 830.0884339696812, 'one_way_plane_emission_kg_co2': 4821.577499440915, 'one_way_autocar_emission_kg_co2': 50.7105, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport de Lyon-Bron', 'to_coords': [45.7315776926914, 4.937236051354679], 'distance_km': 449.50462787061053, 'travel_time_seconds': 2974}, {'step_type': 'autocar_arrival', 'from': 'Aéroport de Lyon-Bron', 'from_coords': [45.7315776926914, 4.937236051354679], 'to': 'Lyon', 'to_coords': [45.7652169, 4.9820302], 'distance_km': 8.287, 'travel_time_seconds': 910}]}"
Angers,Marseille,14148,1378.7080835327617,12363.065099441068,plane,"{'one_way_flight_distance_km': 629.0290417663809, 'one_way_flight_time_seconds': 3752, 'one_way_autocar_distance_km': 60.325, 'one_way_autocar_time_seconds': 3322, 'one_way_fuel_consumption_kg': 1048.6414554463922, 'one_way_plane_emission_kg_co2': 6091.045049720534, 'one_way_autocar_emission_kg_co2': 90.48750000000001, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Marseille Provence', 'to_coords': [43.43791543967677, 5.21484531414892], 'distance_km': 629.0290417663809, 'travel_time_seconds': 3752}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Marseille Provence', 'from_coords': [43.43791543967677, 5.21484531414892], 'to': 'Marseille', 'to_coords': [43.269859, 5.3959015], 'distance_km': 34.805, 'travel_time_seconds': 2027}]}"
Angers,Monaco,15394,1575.048443656773,13764.992283306749,plane,"{'one_way_flight_distance_km': 728.4152218283865, 'one_way_flight_time_seconds': 4183, 'one_way_autocar_distance_km': 59.108999999999995, 'one_way_autocar_time_seconds': 3514, 'one_way_fuel_consumption_kg': 1169.6341910538777, 'one_way_plane_emission_kg_co2': 6793.832641653375, 'one_way_autocar_emission_kg_co2': 88.6635, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Nice Côte d’Azur', 'to_coords': [43.65932215075198, 7.214794783101506], 'distance_km': 728.4152218283865, 'travel_time_seconds': 4183}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Nice Côte d’Azur', 'from_coords': [43.65932215075198, 7.214794783101506], 'to': 'Monaco', 'to_coords': [43.72758169999999, 7.4156038], 'distance_km': 33.589, 'travel_time_seconds': 2219}]}"
Angers,Montpellier,12826,1197.3691839462542,11255.136759318604,plane,"{'one_way_flight_distance_km': 554.0085919731272, 'one_way_flight_time_seconds': 3427, 'one_way_autocar_distance_km': 44.676, 'one_way_autocar_time_seconds': 2986, 'one_way_fuel_consumption_kg': 957.311559868085, 'one_way_plane_emission_kg_co2': 5560.554379659302, 'one_way_autocar_emission_kg_co2': 67.01400000000001, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Montpellier Méditerranée', 'to_coords': [43.579567782477675, 3.9650871935893695], 'distance_km': 554.0085919731272, 'travel_time_seconds': 3427}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Montpellier Méditerranée', 'from_coords': [43.579567782477675, 3.9650871935893695], 'to': 'Montpellier', 'to_coords': [43.6221434, 3.8120627], 'distance_km': 19.156, 'travel_time_seconds': 1691}]}"
Angers,Nantes,10616,446.89200742524287,5527.36931840385,plane,"{'one_way_flight_distance_km': 140.99300371262143, 'one_way_flight_time_seconds': 1638, 'one_way_autocar_distance_km': 82.453, 'one_way_autocar_time_seconds': 3670, 'one_way_fuel_consumption_kg': 454.5063827197453, 'one_way_plane_emission_kg_co2': 2640.005159201925, 'one_way_autocar_emission_kg_co2': 123.6795, 'added_details': 'departure autocar route found- arrival autocar route found', 'travel_steps': [{'step_type': 'autocar_departure', 'from': 'Angers', 'from_coords': [47.4610005, -0.5307170999999999], 'to': ""Aéroport d'Angers"", 'to_coords': [47.56268326367042, -0.3146056927399335], 'distance_km': 25.52, 'travel_time_seconds': 1295}, {'step_type': 'flight', 'from': ""Aéroport d'Angers"", 'from_coords': [47.56268326367042, -0.3146056927399335], 'to': 'Aéroport Saint-Nazaire Montoir-de-Bretagne', 'to_coords': [47.31200486435402, -2.1522680447306133], 'distance_km': 140.99300371262143, 'travel_time_seconds': 1638}, {'step_type': 'autocar_arrival', 'from': 'Aéroport Saint-Nazaire Montoir-de-Bretagne', 'from_coords': [47.31200486435402, -2.1522680447306133], 'to': 'Nantes', 'to_coords': [47.2560233, -1.524675], 'distance_km': 56.933, 'travel_time_seconds': 2375}]}"
