location,team_name,stadium_name,stop_area_id,gare_name,latitude,longitude,distance_to_stadium
Angers,Angers,Stade Raymond Kopa,stop_area:SNCF:87484006,Angers Saint-Laud (Angers),47.464649,-0.55677,2.000113487888072
Angers,Angers,Stade Raymond Kopa,stop_area:SNCF:87484048,Angers Maître École (Angers),47.466953,-0.532437,0.6743972877696846
Auxerre,Auxerre,Stade Abbé Deschamps,stop_area:SNCF:87683573,Auxerre-Saint-Gervais (Auxerre),47.797645,3.58514,1.2381577835192419
Brest,Brest,Stade Francis-Le Blé,stop_area:SNCF:87474007,Brest (Brest),48.387693,-4.480094,2.1788797446368355
Le Havre,Le Havre,Stade Océane,stop_area:SNCF:87413013,Le Havre (Le Havre),49.492624,0.124644,3.3100994150206167
Lens,Lens,Stade Bollaert-Delelis,stop_area:SNCF:87345025,Lens (Lens),50.426866,2.828301,1.150465129312833
Lens,Lens,Stade Bollaert-Delelis,stop_area:SNCF:87345033,Loos-en-Gohelle (Lens),50.437864,2.793543,1.6232036327328858
Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,stop_area:SNCF:87286005,Lille Flandres (Lille),50.636577,3.06987,5.244706976932295
Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,stop_area:SNCF:87223263,Lille Europe (Lille),50.6394,3.075721,5.086956553751241
Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,stop_area:SNCF:87287250,Lille Porte de Douai (Lille),50.612114,3.075075,4.066619947693839
Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,stop_area:SNCF:87109306,Lille Centre Hospitalier Régional (Lille),50.614297,3.034278,6.951969573615195
Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,stop_area:SNCF:87287102,Lezennes (Lille),50.620531,3.097777,2.666570734871469
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87722025,Lyon Perrache (Lyon),45.748508,4.825777,12.26386550452881
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87721001,Lyon Vaise (Lyon),45.77976,4.804186,13.887972788374316
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87282624,Lyon - Jean Macé (Lyon),45.74503,4.841499,11.131588123585823
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87721175,Lyon Gorge de Loup (Lyon),45.766095,4.804697,13.755901310666932
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87723197,Lyon Part Dieu (Lyon),45.760596,4.859409,9.525938359642904
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87721159,Lyon - Saint-Paul (Lyon),45.766077,4.826954,12.029484781631263
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87697136,Lyon-Perrache - Gare Routière (Lyon),45.74912,4.827332,12.134343432712116
Lyon,Lyon,Groupama Stadium,stop_area:SNCF:87698340,Lyon-Saint-Paul - La Feuillée (Lyon),45.765943,4.827477,11.988822292744066
Marseille,Marseille,Orange Vélodrome,stop_area:SNCF:87751008,Marseille Saint-Charles (Marseille),43.302666,5.380407,3.857543497862477
Marseille,Marseille,Orange Vélodrome,stop_area:SNCF:87751081,Marseille Blancarde (Marseille),43.296195,5.406588,3.053522289937646
Marseille,Marseille,Orange Vélodrome,stop_area:SNCF:87751602,L'Estaque (Marseille),43.363646,5.321342,12.047487336860934
