visiting_team,hosting_team,transport_type,emissions_kg_co2,emissions_kg_co2_wo_empty_bus,travel_time_seconds,distance_km,alternative_emissions_kg_co2,alternative_emissions_kg_co2_wo_empty_bus,alternative_travel_time_seconds,alternative_distance_km,alternative_transport_type
Paris Saint-Germain,Paris Saint-Germain,/,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
Monaco,Paris Saint-Germain,avion,16209.865725929229,13301.605725929228,17018.0,1523.6552800361596,3213.670488,305.410488,48598,1750.264,train
Brest,Paris Saint-Germain,avion,12453.183654063288,10697.595654063289,12540.0,1117.809526006527,1912.4616399999995,156.87364,29890,1080.256,train
Lille,Paris Saint-Germain,bus,680.817,680.817,18112.0,453.878,803.285472,122.468472,13262,453.868,train
Nice,Paris Saint-Germain,avion,16062.700725929228,13221.319725929228,14042.0,1470.1312800361598,3146.791488,305.410488,48598,1750.264,train
Lyon,Paris Saint-Germain,avion,10575.810138450972,9156.288138450973,11906.0,897.5669126084347,1610.9793439999999,191.457344,20050,847.944,train
Lens,Paris Saint-Germain,bus,624.4499999999999,624.4499999999999,17210.0,416.3,714.3831519999999,89.933152,13272,383.126,train
Marseille,Paris Saint-Germain,avion,15104.12720907823,12715.91120907823,16272.0,1442.7441730002772,2600.3190959999997,212.103096,28532,1362.88,train
Reims,Paris Saint-Germain,bus,449.328,449.328,11972.0,299.552,532.648868,83.32086799999999,10494,292.44599999999997,train
Rennes,Paris Saint-Germain,bus,1050.66,1050.66,24474.0,700.44,1156.739276,106.079276,13618,633.914,train
Toulouse,Paris Saint-Germain,avion,14021.125291678663,11984.929291678664,14092.0,1309.023488850307,2245.010244,208.81424399999997,38218,1466.72,train
Montpellier,Paris Saint-Germain,avion,14332.620684944195,12117.129684944195,15262.0,1333.407337355528,2451.8292559999995,236.338256,28666,1375.462,train
Strasbourg,Paris Saint-Germain,train,1647.2267359999998,150.646736,18096.0,829.438,1647.2267359999998,150.646736,18096,829.438,train
Nantes,Paris Saint-Germain,bus,1127.583,1127.583,25104.0,751.722,1247.5288600000001,119.94586,18738,709.944,train
Le Havre,Paris Saint-Germain,bus,571.4759999999999,571.4759999999999,13860.0,380.984,571.4759999999999,571.4759999999999,13860,380.984,bus
Auxerre,Paris Saint-Germain,bus,511.596,511.596,13294.0,341.064,511.596,511.596,13294,341.064,bus
Angers,Paris Saint-Germain,train,962.8127279999999,92.989728,13494.0,546.058,962.8127279999999,92.989728,13494,546.058,train
Saint-Étienne,Paris Saint-Germain,train,1789.3321879999999,158.100188,24942.0,927.106,1789.3321879999999,158.100188,24942,927.106,train
Paris Saint-Germain,Monaco,avion,16209.865725929229,13301.605725929228,17018.0,1523.6552800361596,3213.670488,305.410488,48598,1750.264,train
Monaco,Monaco,/,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
Brest,Monaco,avion,22526.509378751463,18154.423378751464,17034.0,2170.9095439970215,5621.095572,1249.0095720000002,86506,2787.124,train
Lille,Monaco,avion,18663.96264021082,15127.430640210818,14964.0,1739.7226158621493,4793.577404,1257.045404,60676,2146.89,train
