departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Lille,28998,1032.1230535369043,158.49389599999998,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Lille Europe (Lille)', 'type': 'public_transport', 'distance_km': 502.7945267684521, 'co2_kg': 1.18692896, 'time_s': 13020}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Lille Europe (Lille)', 'to': 'Decathlon Arena Pierre Mauroy Stadium', 'distance_km': 20.668, 'travel_time_seconds': 1696, 'emissions_kg_co2': 31.001999999999995}]}}"
Angers,Auxerre,40894,982.7449129210949,297.09031999999996,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Marne-la-Vallée - Chessy (Chessy)', 'type': 'public_transport', 'distance_km': 295.8753350379488, 'co2_kg': 0.69846088, 'time_s': 8520}, {'from': 'Marne-la-Vallée - Chessy (Chessy)', 'to': 'Marne la Vallée - Chessy (Chessy)', 'type': 'transfer', 'distance_km': 0.03320690181197249, 'co2_kg': 0.0, 'time_s': 42}, {'from': 'Marne la Vallée - Chessy (Chessy)', 'to': 'Paris Gare de Lyon (Paris)', 'type': 'public_transport', 'distance_km': 31.79563383932803, 'co2_kg': 0.23153312, 'time_s': 2100}, {'from': 'Paris Gare de Lyon (Paris)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'transfer', 'distance_km': 0.1335447666812244, 'co2_kg': 0.0, 'time_s': 170}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Laroche - Migennes (Migennes)', 'type': 'public_transport', 'distance_km': 139.17105142063085, 'co2_kg': 1.656599, 'time_s': 6840}, {'from': 'Laroche - Migennes (Migennes)', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'type': 'public_transport', 'distance_km': 19.152684494146456, 'co2_kg': 0.2279802, 'time_s': 1020}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Stade Abbé Deschamps', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}]}}"
Angers,Brest,33080,769.00656611459,107.829896,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Rennes (Rennes)', 'type': 'public_transport', 'distance_km': 153.73382567804808, 'co2_kg': 0.36291372, 'time_s': 6240}, {'from': 'Rennes (Rennes)', 'to': 'Brest (Brest)', 'type': 'public_transport', 'distance_km': 224.59645737924689, 'co2_kg': 0.5301952400000001, 'time_s': 7920}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Brest (Brest)', 'to': 'Stade Francis-Le Blé', 'distance_km': 6.48, 'travel_time_seconds': 978, 'emissions_kg_co2': 9.72}]}}"
Angers,Le Havre,38012,921.7424611084376,308.514316,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Massy TGV (Massy)', 'type': 'public_transport', 'distance_km': 254.45994560172937, 'co2_kg': 0.6006931600000001, 'time_s': 5400}, {'from': 'Massy TGV (Massy)', 'to': 'Massy - Palaiseau (Massy)', 'type': 'transfer', 'distance_km': 0.12374789128688035, 'co2_kg': 0.0, 'time_s': 157}, {'from': 'Massy - Palaiseau (Massy)', 'to': 'Châtelet les Halles (Paris)', 'type': 'public_transport', 'distance_km': 16.945293759035355, 'co2_kg': 0.123396, 'time_s': 1500}, {'from': 'Châtelet les Halles (Paris)', 'to': 'Auber (Paris)', 'type': 'public_transport', 'distance_km': 1.8697058050348232, 'co2_kg': 0.0136136, 'time_s': 120}, {'from': 'Auber (Paris)', 'to': 'Paris Saint-Lazare (Paris)', 'type': 'transfer', 'distance_km': 0.6052301936507316, 'co2_kg': 0.0, 'time_s': 600}, {'from': 'Paris Saint-Lazare (Paris)', 'to': 'Le Havre (Le Havre)', 'type': 'public_transport', 'distance_km': 180.06530730348157, 'co2_kg': 2.1433804, 'time_s': 7500}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Le Havre (Le Havre)', 'to': 'Stade Océane', 'distance_km': 7.738, 'travel_time_seconds': 1110, 'emissions_kg_co2': 11.607000000000001}]}}"
Angers,Lens,33190,950.6343231318324,155.511258,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.62436471824105, 'co2_kg': 0.61996728, 'time_s': 5040}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Viroflay Rive Gauche (Viroflay)', 'type': 'public_transport', 'distance_km': 13.204869400150562, 'co2_kg': 0.09615424, 'time_s': 1260}, {'from': 'Viroflay Rive Gauche (Viroflay)', 'to': 'Saint-Michel Notre-Dame (Paris)', 'type': 'public_transport', 'distance_km': 16.326734164968233, 'co2_kg': 0.11888968, 'time_s': 1740}, {'from': 'Saint-Michel Notre-Dame (Paris)', 'to': 'Saint-Michel (Paris)', 'type': 'transfer', 'distance_km': 0.0021499980751669293, 'co2_kg': 0.0, 'time_s': 2}, {'from': 'Saint-Michel (Paris)', 'to': 'Gare du Nord (Paris)', 'type': 'public_transport', 'distance_km': 3.2273691310806183, 'co2_kg': 0.023499839999999998, 'time_s': 300}, {'from': 'Gare du Nord (Paris)', 'to': 'Paris Nord (Paris)', 'type': 'transfer', 'distance_km': 0.23520859542016212, 'co2_kg': 0.0, 'time_s': 299}, {'from': 'Paris Nord (Paris)', 'to': 'Arras (Arras)', 'type': 'public_transport', 'distance_km': 159.42470812184553, 'co2_kg': 0.37634683999999996, 'time_s': 3000}, {'from': 'Arras (Arras)', 'to': 'Lens (Lens)', 'type': 'public_transport', 'distance_km': 15.908757436134872, 'co2_kg': 0.1893647, 'time_s': 660}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Lens (Lens)', 'to': 'Stade Bollaert-Delelis', 'distance_km': 2.86, 'travel_time_seconds': 488, 'emissions_kg_co2': 4.289999999999999}]}}"
Angers,Lyon,33852,1393.6166389433906,224.28514,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Lyon Part Dieu (Lyon)', 'type': 'public_transport', 'distance_km': 675.1753194716953, 'co2_kg': 1.5938614, 'time_s': 14640}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Lyon Part Dieu (Lyon)', 'to': 'Groupama Stadium', 'distance_km': 37.4, 'travel_time_seconds': 3310, 'emissions_kg_co2': 56.099999999999994}]}}"
Angers,Marseille,47494,1927.648880902817,247.202628,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Marne-la-Vallée - Chessy (Chessy)', 'type': 'public_transport', 'distance_km': 295.8753350379488, 'co2_kg': 0.69846088, 'time_s': 7500}, {'from': 'Marne-la-Vallée - Chessy (Chessy)', 'to': 'Aix-en-Provence TGV (Aix-en-Provence)', 'type': 'public_transport', 'distance_km': 643.1203473908363, 'co2_kg': 1.51819036, 'time_s': 10500}, {'from': 'Aix-en-Provence TGV (Aix-en-Provence)', 'to': 'Marseille Saint-Charles (Marseille)', 'type': 'public_transport', 'distance_km': 17.709758022623266, 'co2_kg': 0.04180504, 'time_s': 720}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Marseille Saint-Charles (Marseille)', 'to': 'Orange Vélodrome', 'distance_km': 8.372, 'travel_time_seconds': 1832, 'emissions_kg_co2': 12.558}]}}"
Angers,Montpellier,49428,2008.6126533408424,295.29400799999996,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Marne-la-Vallée - Chessy (Chessy)', 'type': 'public_transport', 'distance_km': 295.8753350379488, 'co2_kg': 0.69846088, 'time_s': 7500}, {'from': 'Marne-la-Vallée - Chessy (Chessy)', 'to': 'Marne la Vallée - Chessy (Chessy)', 'type': 'transfer', 'distance_km': 0.03320690181197249, 'co2_kg': 0.0, 'time_s': 42}, {'from': 'Marne la Vallée - Chessy (Chessy)', 'to': 'Paris Gare de Lyon (Paris)', 'type': 'public_transport', 'distance_km': 32.15420253438371, 'co2_kg': 0.23414664, 'time_s': 2220}, {'from': 'Paris Gare de Lyon (Paris)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'transfer', 'distance_km': 0.1335447666812244, 'co2_kg': 0.0, 'time_s': 170}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Montpellier Sud de France (Montpellier)', 'type': 'public_transport', 'distance_km': 660.7600374295955, 'co2_kg': 1.55983256, 'time_s': 11880}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Montpellier Sud de France (Montpellier)', 'to': 'Stade de la Mosson', 'distance_km': 24.834, 'travel_time_seconds': 3046, 'emissions_kg_co2': 37.251}]}}"
Angers,Nantes,8008,177.56321859224934,44.788952,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Nantes (Nantes)', 'type': 'public_transport', 'distance_km': 80.15960929612467, 'co2_kg': 0.18922952, 'time_s': 2520}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Nantes (Nantes)', 'to': 'Stade de la Beaujoire', 'distance_km': 11.378, 'travel_time_seconds': 1706, 'emissions_kg_co2': 17.067}]}}"
Angers,Nice,79236,2300.2802219687337,328.15472600000004,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 264.42761956231186, 'co2_kg': 0.6242247200000001, 'time_s': 6600}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Massy TGV (Massy)', 'type': 'public_transport', 'distance_km': 13.548015438448399, 'co2_kg': 0.03198036, 'time_s': 540}, {'from': 'Massy TGV (Massy)', 'to': 'Massy - Palaiseau (Massy)', 'type': 'transfer', 'distance_km': 0.12374789128688035, 'co2_kg': 0.0, 'time_s': 157}, {'from': 'Massy - Palaiseau (Massy)', 'to': 'Châtelet les Halles (Paris)', 'type': 'public_transport', 'distance_km': 16.945293759035355, 'co2_kg': 0.123396, 'time_s': 1500}, {'from': 'Châtelet les Halles (Paris)', 'to': 'Paris - Gare de Lyon - Banlieue (Paris)', 'type': 'public_transport', 'distance_km': 2.491749162029359, 'co2_kg': 0.01814176, 'time_s': 180}, {'from': 'Paris - Gare de Lyon - Banlieue (Paris)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'transfer', 'distance_km': 0.006951005778002146, 'co2_kg': 0.0, 'time_s': 8}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Nice (Nice)', 'type': 'public_transport', 'distance_km': 833.5027503604857, 'co2_kg': 1.96761932, 'time_s': 21240}, {'from': 'Nice (Nice)', 'to': 'Nice Pont Michel (Nice)', 'type': 'public_transport', 'distance_km': 3.1289838049912118, 'co2_kg': 0.0372351, 'time_s': 240}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Nice Pont Michel (Nice)', 'to': 'Allianz Riviera', 'distance_km': 26.064, 'travel_time_seconds': 1774, 'emissions_kg_co2': 39.096}]}}"
Angers,Paris Saint-Germain,13494,545.9107294364821,92.989728,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.62436471824105, 'co2_kg': 0.61996728, 'time_s': 5040}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Parc des Princes', 'distance_km': 14.796, 'travel_time_seconds': 2152, 'emissions_kg_co2': 22.193999999999996}]}}"
Angers,Reims,27126,865.3546338829801,121.98946,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Champagne-Ardenne TGV (Bezannes)', 'type': 'public_transport', 'distance_km': 423.59062036833285, 'co2_kg': 0.9999556000000001, 'time_s': 11160}, {'from': 'Champagne-Ardenne TGV (Bezannes)', 'to': 'Reims Maison Blanche (Reims)', 'type': 'public_transport', 'distance_km': 2.909696573157209, 'co2_kg': 0.034629, 'time_s': 300}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Reims Maison Blanche (Reims)', 'to': 'Stade Auguste Delaune', 'distance_km': 6.488, 'travel_time_seconds': 1024, 'emissions_kg_co2': 9.732000000000001}]}}"
Angers,Rennes,13688,321.16965135609615,56.844372,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Rennes (Rennes)', 'type': 'public_transport', 'distance_km': 153.73382567804808, 'co2_kg': 0.36291372, 'time_s': 5580}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Rennes (Rennes)', 'to': 'Roazhon Park', 'distance_km': 7.836, 'travel_time_seconds': 1266, 'emissions_kg_co2': 11.754000000000001}]}}"
Angers,Strasbourg,34924,1427.3732940450411,188.692756,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Strasbourg (Strasbourg)', 'type': 'public_transport', 'distance_km': 706.3726470225206, 'co2_kg': 1.66750756, 'time_s': 15960}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Strasbourg (Strasbourg)', 'to': 'Stade de la Meinau', 'distance_km': 8.762, 'travel_time_seconds': 1742, 'emissions_kg_co2': 13.142999999999999}]}}"
